|	To	|	Weight	|	Path
|	265	|	-74	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265]
|	266	|	-70	|	[0, 71, 89, 116, 121, 159, 205, 237, 266]
|	267	|	-63	|	[0, 71, 89, 115, 134, 194, 218, 247, 267]
|	268	|	-71	|	[0, 71, 89, 116, 121, 159, 215, 232, 256, 268]
|	269	|	-75	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269]
|	270	|	-71	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 270]
|	271	|	-82	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 271]
|	272	|	-72	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272]
|	273	|	-68	|	[0, 71, 89, 116, 121, 159, 205, 234, 259, 273]
|	274	|	-75	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274]
|	275	|	-70	|	[0, 71, 89, 116, 121, 159, 205, 237, 275]
|	276	|	-70	|	[0, 71, 89, 116, 121, 159, 215, 232, 256, 276]
|	277	|	-75	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277]
|	278	|	-76	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278]
|	279	|	-80	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279]
|	280	|	-84	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280]
|	281	|	-84	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281]
|	282	|	-78	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 282]
|	283	|	-84	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283]
|	284	|	-81	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 284]
|	285	|	-83	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285]
|	286	|	-76	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 286]
|	287	|	-77	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 287]
|	288	|	-84	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288]
|	289	|	-77	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 289]
|	290	|	-81	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 290]
|	291	|	-72	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 291]
|	292	|	-81	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292]
|	293	|	-74	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 293]
|	294	|	-83	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294]
|	295	|	-74	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 270, 295]
|	296	|	-85	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 296]
|	297	|	-76	|	[0, 71, 89, 116, 121, 159, 215, 250, 254, 297]
|	298	|	-81	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 298]
|	299	|	-80	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 299]
|	300	|	-77	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 300]
|	301	|	-84	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 271, 301]
